R0_c29_r26,R1_c13,R1_c17,R1_c21,R2_c17_r14,R3_c13,R3_c17,R3_c21,R4_c13,R4_c17,R4_c21,R5_r6,R5_r10,R6,R7_c13,R7_c17,R8,R9_c21,R9_c25,R9_c29,R10,R11_c25,R11_c29,R12,R13_c17,R13_c21,R14_c13,R14_c17,R14_c21
PL04,PL10,PL10,PL10,PL02,PL10,PL10,PL10,PL03,PL03,PL03,PL01,PL01,PL08,PL09,PL09,PL08,PL04,PL04,PL04,PL08,PL10,PL10,PL08,PL10,PL10,PL10,PL10,PL10
PL07,PL08,PL10,PL10,PL03,PL08,PL10,PL10,PL03,PL03,PL03,PL01,PL01,PL08,PL10,PL10,PL08,PL04,PL04,PL04,PL08,PL10,PL10,PL08,PL10,PL10,PL08,PL10,PL10
PL07,PL08,PL10,PL10,PL03,PL08,PL10,PL10,PL01,PL03,PL03,PL02,PL02,PL08,PL10,PL10,PL09,PL01,PL04,PL04,PL08,PL10,PL10,PL08,PL10,PL10,PL08,PL10,PL10
PL07,PL08,PL10,PL10,PL06,PL08,PL10,PL10,PL01,PL03,PL03,PL02,PL02,PL08,PL10,PL10,PL09,PL01,PL04,PL04,PL09,PL10,PL10,PL08,PL10,PL10,PL08,PL10,PL10
PL07,PL09,PL10,PL10,PL06,PL09,PL10,PL10,PL01,PL03,PL03,PL05,PL02,PL09,PL08,PL10,PL09,PL01,PL04,PL04,PL09,PL08,PL10,PL09,PL08,PL10,PL09,PL10,PL10
PL01,PL09,PL08,PL10,PL06,PL09,PL08,PL10,PL02,PL03,PL03,PL05,PL02,PL09,PL08,PL10,PL09,PL02,PL04,PL04,PL09,PL08,PL10,PL09,PL08,PL10,PL09,PL08,PL10
PL01,PL09,PL08,PL10,PL06,PL09,PL08,PL10,PL02,PL01,PL04,PL05,PL02,PL09,PL08,PL10,PL09,PL02,PL01,PL04,PL09,PL08,PL10,PL09,PL08,PL10,PL09,PL08,PL10
PL01,PL09,PL08,PL10,PL01,PL09,PL08,PL10,PL02,PL01,PL04,PL05,PL02,PL09,PL09,PL10,PL09,PL02,PL01,PL04,PL09,PL09,PL10,PL09,PL09,PL10,PL09,PL08,PL10
PL02,PL09,PL09,PL10,PL01,PL09,PL09,PL10,PL02,PL01,PL04,PL05,PL05,PL09,PL09,PL08,PL09,PL02,PL01,PL04,PL09,PL09,PL08,PL09,PL09,PL08,PL09,PL09,PL10
PL02,PL09,PL09,PL08,PL01,PL09,PL09,PL08,PL02,PL02,PL04,PL05,PL05,PL09,PL09,PL08,PL10,PL02,PL02,PL04,PL09,PL09,PL08,PL09,PL09,PL08,PL09,PL09,PL08
